,precision,recall,f1-score,support
0,1.0,1.0,1.0,6.0
1,1.0,0.9583333333333334,0.9787234042553191,24.0
2,0.9333333333333333,0.9333333333333333,0.9333333333333333,30.0
3,1.0,1.0,1.0,30.0
4,1.0,0.8666666666666667,0.9285714285714286,30.0
5,1.0,0.8888888888888888,0.9411764705882353,18.0
6,0.75,1.0,0.8571428571428571,18.0
7,0.7142857142857143,0.8333333333333334,0.7692307692307693,6.0
8,1.0,1.0,1.0,6.0
accuracy,0.9404761904761905,0.9404761904761905,0.9404761904761905,0.9404761904761905
macro avg,0.9330687830687832,0.942283950617284,0.9342420292357715,168.0
weighted avg,0.9511054421768707,0.9404761904761905,0.9424502206774692,168.0
