,precision,recall,f1-score,support
0,1.0,1.0,1.0,6.0
1,1.0,0.9583333333333334,0.9787234042553191,24.0
2,0.9333333333333333,0.9333333333333333,0.9333333333333333,30.0
3,1.0,1.0,1.0,30.0
4,1.0,0.8333333333333334,0.9090909090909091,30.0
5,1.0,0.9444444444444444,0.9714285714285714,18.0
6,0.75,1.0,0.8571428571428571,18.0
7,0.7142857142857143,0.8333333333333334,0.7692307692307693,6.0
8,1.0,1.0,1.0,6.0
accuracy,0.9404761904761905,0.9404761904761905,0.9404761904761905,0.9404761904761905
macro avg,0.9330687830687832,0.9447530864197531,0.9354388716090843,168.0
weighted avg,0.9511054421768707,0.9404761904761905,0.9422128530031266,168.0
