k,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,reg_lambda,reg_alpha,min_child_weight,gamma
300,0.9399185128596894,0.03367794661757987,0.9243403355903357,0.047158238370729424,0.9393061385039996,0.03254545793379179,400,3,0.03,0.9,0.8,1.0,0.05,,
300,0.9399185128596894,0.03367794661757987,0.9243403355903357,0.047158238370729424,0.9393061385039996,0.03254545793379179,300,3,0.05,1.0,0.75,5.0,0.1,2.0,0.05
300,0.9338579067990832,0.03588155985900688,0.9191904237737571,0.04785953215809856,0.9336880528859138,0.0338112453281838,300,4,0.02,0.9,0.8,0.5,0.0,1.0,0.0
300,0.9338579067990832,0.03588155985900688,0.9191904237737571,0.04785953215809856,0.9336880528859138,0.0338112453281838,400,4,0.02,1.0,0.8,0.5,0.1,1.0,0.0
300,0.9338579067990832,0.03588155985900688,0.9191904237737571,0.04785953215809856,0.9336880528859138,0.0338112453281838,500,4,0.02,0.85,0.75,0.5,0.0,2.0,0.05
300,0.9338579067990832,0.03588155985900688,0.9191904237737571,0.04785953215809856,0.9336880528859138,0.0338112453281838,300,3,0.05,0.85,0.75,5.0,0.1,2.0,0.0
300,0.9338579067990832,0.03588155985900688,0.9191904237737571,0.04785953215809856,0.9336880528859138,0.0338112453281838,400,3,0.02,0.9,0.9,0.5,0.03,1.0,0.03
300,0.9338579067990832,0.03588155985900688,0.9191904237737571,0.04785953215809856,0.9336880528859138,0.0338112453281838,400,3,0.03,0.9,0.9,1.0,0.1,1.0,0.1
300,0.9338579067990832,0.03588155985900688,0.9191904237737571,0.04785953215809856,0.9336880528859138,0.0338112453281838,400,2,0.05,0.85,0.75,5.0,0.05,3.0,0.05
300,0.9338579067990832,0.03588155985900688,0.9191904237737571,0.04785953215809856,0.9336880528859138,0.0338112453281838,500,4,0.02,0.85,0.75,0.5,0.05,1.0,0.0
350,0.9338579067990832,0.03588155985900688,0.9191904237737571,0.04785953215809856,0.9336880528859138,0.0338112453281838,400,3,0.03,0.9,0.8,1.0,0.05,,
350,0.9338579067990832,0.03588155985900688,0.9191904237737571,0.04785953215809856,0.9336880528859138,0.0338112453281838,300,4,0.02,0.9,0.8,0.5,0.0,1.0,0.0
350,0.9338579067990832,0.03588155985900688,0.9191904237737571,0.04785953215809856,0.9336880528859138,0.0338112453281838,400,4,0.02,1.0,0.8,0.5,0.1,1.0,0.0
350,0.9338579067990832,0.03588155985900688,0.9191904237737571,0.04785953215809856,0.9336880528859138,0.0338112453281838,300,3,0.05,1.0,0.75,5.0,0.1,2.0,0.05
