model,k,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std
XGBoost,300,0.9399185128596894,0.03367794661757987,0.9243403355903357,0.047158238370729424,0.9393061385039996,0.03254545793379179
XGBoost,400,0.9338579067990832,0.03588155985900688,0.9191904237737571,0.04785953215809856,0.9336880528859138,0.0338112453281838
XGBoost,350,0.9338579067990832,0.03588155985900688,0.9191904237737571,0.04785953215809856,0.9336880528859138,0.0338112453281838
CatBoost,400,0.9338579067990832,0.03588155985900688,0.91830089663423,0.048517808462078024,0.9343089471431718,0.032918530784897294
CatBoost,300,0.9338579067990832,0.03588155985900688,0.91830089663423,0.048517808462078024,0.9343089471431718,0.032918530784897294
XGBoost,250,0.934036159918513,0.03019589589564083,0.9144637923804592,0.040024278038515236,0.9340773803340647,0.02883216327755279
CatBoost,350,0.9277973007384771,0.045846762287514,0.9143615026948361,0.05206760576181889,0.9297910408070835,0.03984366746298665
LightGBM,300,0.915676088617265,0.06791426109910186,0.9038603371936705,0.06534071072719788,0.9174175557063258,0.06167309613679873
LightGBM,400,0.9096154825566589,0.06956357525184875,0.8989220655887322,0.06619040645719898,0.9114916297803999,0.06303147590743027
HistGradientBoosting,400,0.9096154825566589,0.06956357525184875,0.8989220655887322,0.06619040645719898,0.9114916297803999,0.06303147590743027
LightGBM,350,0.9096154825566589,0.06956357525184875,0.8989220655887322,0.06619040645719898,0.9114916297803999,0.06303147590743027
HistGradientBoosting,350,0.9096154825566589,0.06956357525184875,0.8989220655887322,0.06619040645719898,0.9114916297803999,0.06303147590743027
HistGradientBoosting,300,0.9096154825566589,0.06956357525184875,0.8989220655887322,0.06619040645719898,0.9114916297803999,0.06303147590743027
RandomForest,350,0.9096154825566589,0.06406615397682713,0.8969605086271754,0.06476442261190338,0.9106944471650354,0.0588349600337485
LightGBM,250,0.9097937356760886,0.06406816612104217,0.893983793983794,0.05694654235687587,0.9121887975363911,0.05785116577890903
HistGradientBoosting,250,0.9097937356760886,0.054797824185434635,0.8931364314697647,0.051636713069953474,0.9112215492964155,0.05029566220228011
RandomForest,400,0.9035548764960529,0.07320985391036583,0.892584884251551,0.06997731757085289,0.9039303022190722,0.0687850882979214
ExtraTrees_regularized,400,0.9035548764960529,0.07320985391036583,0.892584884251551,0.06997731757085289,0.9039303022190722,0.0687850882979214
RandomForest,300,0.9035548764960529,0.07320985391036583,0.892584884251551,0.06997731757085289,0.9039303022190722,0.0687850882979214
ExtraTrees_deep,350,0.9037331296154825,0.05937637482271178,0.8919951036617704,0.057741395476556025,0.9041297700121229,0.054250191641887054
ExtraTrees_deep,300,0.9037331296154825,0.05937637482271178,0.8914401031067698,0.05722014956886807,0.904170905347376,0.05427833747031248
ExtraTrees_deep,400,0.9037331296154825,0.05937637482271178,0.8914401031067698,0.05722014956886807,0.904170905347376,0.05427833747031248
ExtraTrees_regularized,350,0.8976725235548765,0.0686255292402901,0.8863318779985446,0.06336629761254484,0.8978951608898132,0.06372437862534819
ExtraTrees_regularized,300,0.8976725235548765,0.0686255292402901,0.8863318779985446,0.06336629761254484,0.8978951608898132,0.06372437862534819
RandomForest,200,0.8981869111280876,0.05669259618493221,0.8850160641827308,0.05391535271096077,0.8990119074824957,0.050810221940818155
RandomForest,250,0.8921263050674815,0.06580830455082577,0.8806404398071065,0.059200768504955016,0.8922477625365326,0.060773923027528265
XGBoost,200,0.9097937356760886,0.04359900412626599,0.8767902313735647,0.07183041922694859,0.9098227124430333,0.043179423077870024
CatBoost,250,0.886243952126305,0.04557216132026474,0.8636421294754626,0.04324490239478162,0.8969712205006323,0.04095099612790659
LightGBM,200,0.8855513114336644,0.08055797218901257,0.8579925013258347,0.08894461174572481,0.8875837729313666,0.07508038280458033
HistGradientBoosting,200,0.8855513114336644,0.08055797218901257,0.8579925013258347,0.08894461174572481,0.8875837729313666,0.07508038280458033
ExtraTrees_regularized,250,0.8741431117901707,0.06983374233997862,0.8550840517507184,0.06609967470582336,0.8776135589504573,0.061897671555019344
ExtraTrees_deep,250,0.8625362872421695,0.04627869338664887,0.8513501313501314,0.03888699659572717,0.8664708019253474,0.038463595749950105
ExtraTrees_deep,200,0.8625362872421695,0.04627869338664887,0.8513501313501314,0.03888699659572717,0.8664708019253474,0.038463595749950105
ExtraTrees_regularized,200,0.8687751464222051,0.04914627812066098,0.8486454903121571,0.04675502596913155,0.8709063267886797,0.04132455015786932
CatBoost,200,0.8741227400050929,0.04594182622801985,0.8471438129771462,0.04097958069273987,0.8851254904730841,0.04256401643152553
